16:53:41 | INFO    | 16_gap_injection | injecting the gap profile of US Embassy Dhaka (OpenAQ 2445+8415): {'n_gaps': 2074, 'total_hours': 14002, 'median_h': 1.0, 'mean_h': 6.751205400192864, 'max_h': 2712, 'pct_single_hour': 63.837994214079075}
16:53:41 | INFO    | 16_gap_injection | test period from 2016-07-24 is protected and never degraded
16:53:41 | INFO    | 16_gap_injection | ==============================================================================
16:53:41 | INFO    | 16_gap_injection | [1/101] cell none_cov1.00_s42
16:53:41 | INFO    | 16_gap_injection |   removed 0 h -> coverage 0.9894, 180 gaps (longest 23 h)
16:53:41 | INFO    | 16_gap_injection | contiguity: 28 runs after 3h ffill, longest 7942 h
16:53:41 | INFO    | 16_gap_injection | h=  1:  33456 valid rows  (rejected: no-run 117, short-history 1212, target-past-run-end 25, target-imputed 254)
16:53:41 | INFO    | 16_gap_injection | h=  3:  33406 valid rows  (rejected: no-run 117, short-history 1212, target-past-run-end 75, target-imputed 254)
16:53:41 | INFO    | 16_gap_injection | h=  6:  33331 valid rows  (rejected: no-run 117, short-history 1212, target-past-run-end 150, target-imputed 254)
16:53:41 | INFO    | 16_gap_injection | h= 12:  33181 valid rows  (rejected: no-run 117, short-history 1212, target-past-run-end 300, target-imputed 254)
16:53:41 | INFO    | 16_gap_injection | h= 24:  32889 valid rows  (rejected: no-run 117, short-history 1212, target-past-run-end 596, target-imputed 250)
16:53:41 | INFO    | 16_gap_injection | built 91 predictor columns (max backward dependency 48 h)
16:53:41 | INFO    | 16_gap_injection | split: train 2013-02-28 to 2015-12-18, val to 2016-07-24, test to 2017-02-28 (chronological, no shuffling)
16:53:41 | INFO    | 16_gap_injection | h=  1: boundary purge removed 95 rows (33456 -> 33361)
16:53:41 | INFO    | 16_gap_injection | h=  3: boundary purge removed 99 rows (33406 -> 33307)
16:53:41 | INFO    | 16_gap_injection | h=  6: boundary purge removed 105 rows (33331 -> 33226)
16:53:41 | INFO    | 16_gap_injection | h= 12: boundary purge removed 117 rows (33181 -> 33064)
16:53:41 | INFO    | 16_gap_injection | h= 24: boundary purge removed 141 rows (32889 -> 32748)
16:53:41 | INFO    | 16_gap_injection | scaler fitted on 24545 training rows over 91 predictors
16:53:42 | INFO    | 16_gap_injection | wrote F:\BUP\data\interim\beijing\ablation_R72\none_cov1.00_s42\processed\features.parquet (35064 rows, 153 cols)
16:53:42 | INFO    | 16_gap_injection |   usable rows h=24: train 23288, val 4846, test 4614
16:53:42 | INFO    | 16_gap_injection |     persistence      RMSE   94.96  skill +0.0000
16:53:42 | INFO    | 16_gap_injection |     climatology      RMSE   90.27  skill +0.0494
16:53:42 | INFO    | 16_gap_injection |     ridge            RMSE   86.05  skill +0.0938
16:53:47 | INFO    | 16_gap_injection |     random_forest    RMSE   86.27  skill +0.0915
