12:58:33 | INFO    | 16_gap_injection | injecting the gap profile of US Embassy Dhaka (OpenAQ 2445+8415): {'n_gaps': 2074, 'total_hours': 14002, 'median_h': 1.0, 'mean_h': 6.751205400192864, 'max_h': 2712, 'pct_single_hour': 63.837994214079075}
12:58:33 | INFO    | 16_gap_injection | test period from 2016-07-24 is protected and never degraded
12:58:33 | INFO    | 16_gap_injection | ==============================================================================
12:58:33 | INFO    | 16_gap_injection | [1/2] cell none_cov1.00_s42
12:58:33 | INFO    | 16_gap_injection |   removed 0 h -> coverage 0.9894, 180 gaps (longest 23 h)
12:58:33 | INFO    | 16_gap_injection | contiguity: 28 runs after 3h ffill, longest 7942 h
12:58:33 | INFO    | 16_gap_injection | h=  1:  30679 valid rows  (rejected: no-run 117, short-history 4006, target-past-run-end 22, target-imputed 240)
12:58:33 | INFO    | 16_gap_injection | h=  3:  30635 valid rows  (rejected: no-run 117, short-history 4006, target-past-run-end 66, target-imputed 240)
12:58:33 | INFO    | 16_gap_injection | h=  6:  30569 valid rows  (rejected: no-run 117, short-history 4006, target-past-run-end 132, target-imputed 240)
12:58:33 | INFO    | 16_gap_injection | h= 12:  30438 valid rows  (rejected: no-run 117, short-history 4006, target-past-run-end 264, target-imputed 239)
12:58:33 | INFO    | 16_gap_injection | h= 24:  30174 valid rows  (rejected: no-run 117, short-history 4006, target-past-run-end 528, target-imputed 239)
12:58:33 | INFO    | 16_gap_injection | built 96 predictor columns (max backward dependency 168 h)
12:58:33 | INFO    | 16_gap_injection | split: train 2013-02-28 to 2015-12-18, val to 2016-07-24, test to 2017-02-28 (chronological, no shuffling)
12:58:33 | INFO    | 16_gap_injection | h=  1: boundary purge removed 332 rows (30679 -> 30347)
12:58:33 | INFO    | 16_gap_injection | h=  3: boundary purge removed 336 rows (30635 -> 30299)
12:58:33 | INFO    | 16_gap_injection | h=  6: boundary purge removed 342 rows (30569 -> 30227)
12:58:33 | INFO    | 16_gap_injection | h= 12: boundary purge removed 354 rows (30438 -> 30084)
12:58:33 | INFO    | 16_gap_injection | h= 24: boundary purge removed 378 rows (30174 -> 29796)
12:58:33 | INFO    | 16_gap_injection | scaler fitted on 24545 training rows over 96 predictors
12:58:33 | INFO    | 16_gap_injection | wrote F:\BUP\data\interim\beijing\ablation\none_cov1.00_s42\processed\features.parquet (35064 rows, 158 cols)
12:58:33 | INFO    | 16_gap_injection |   usable rows h=24: train 21732, val 4251, test 3813
12:58:33 | INFO    | 16_gap_injection |     persistence      RMSE   97.29  skill +0.0000
12:58:33 | INFO    | 16_gap_injection |     climatology      RMSE   94.91  skill +0.0245
12:58:34 | INFO    | 16_gap_injection |     ridge            RMSE   91.36  skill +0.0609
12:58:37 | INFO    | 16_gap_injection |     random_forest    RMSE   93.73  skill +0.0366
12:58:39 | INFO    | 16_gap_injection |     xgboost          RMSE   93.72  skill +0.0367
12:58:40 | INFO    | 16_gap_injection |     lightgbm         RMSE   94.17  skill +0.0321
12:58:41 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s42: 40961 params | train 21732 windows, val 4251 | 85 steps/epoch | matrix 2.3 MB on device
12:58:43 | INFO    | 16_gap_injection | gru_h64_l2_w48_H24_s42 epoch   1/60  train 1.89556  val 0.56328  lr 3.33e-04  1.2s  *
