13:10:19 | INFO    | 03_data_audit | loaded PM2.5 (79216 rows) and meteorology (87672 rows)
13:10:22 | INFO    | 03_data_audit | figures written
13:10:22 | INFO    | 03_data_audit | wrote F:\BUP\reports\DATA_AUDIT.md
13:12:06 | INFO    | 03_data_audit | loaded PM2.5 (79216 rows) and meteorology (87672 rows)
13:12:09 | INFO    | 03_data_audit | figures written
13:12:09 | INFO    | 03_data_audit | wrote F:\BUP\reports\DATA_AUDIT.md
00:50:18 | INFO    | 03_data_audit | loaded PM2.5 (35064 rows) and meteorology (35064 rows)
00:50:21 | INFO    | 03_data_audit | figures written
00:50:21 | INFO    | 03_data_audit | wrote F:\BUP\reports\DATA_AUDIT.md
11:12:38 | INFO    | 03_data_audit | loaded PM2.5 (79216 rows) and meteorology (87672 rows)
11:12:41 | INFO    | 03_data_audit | figures written
11:12:41 | INFO    | 03_data_audit | wrote F:\BUP\reports\DATA_AUDIT.md
11:12:48 | INFO    | 03_data_audit | loaded PM2.5 (35064 rows) and meteorology (35064 rows)
11:12:50 | INFO    | 03_data_audit | figures written
11:12:50 | INFO    | 03_data_audit | wrote F:\BUP\reports\beijing\DATA_AUDIT.md
13:14:59 | INFO    | 03_data_audit | loaded PM2.5 (35064 rows) and meteorology (35064 rows)
13:15:01 | INFO    | 03_data_audit | figures written
13:15:01 | INFO    | 03_data_audit | wrote F:\BUP\reports\donors\dingling\DATA_AUDIT.md
