model,horizon_h,stratum,group,n,rmse,mae,r2,smape,bias,reference_rmse,skill_vs_persistence
persistence,1,overall,all,9334,36.581593524432485,20.360831369187917,0.8417751055773043,18.456696991456166,-0.0012856224555388902,36.581593524432485,0.0
persistence,1,season,monsoon (wet),3079,22.55061068400367,13.133484897694057,0.6424767405651428,24.82523696733138,-0.01039298473530367,22.55061068400367,0.0
persistence,1,season,dry,6255,41.792598184243204,23.918465227817745,0.7929373222059206,15.32180736943861,0.0031974420463629096,41.792598184243204,0.0
persistence,1,pollution,observed > 65 ug/m3,6199,43.516790810360206,25.812389095015327,0.7462245710963129,16.088939303835602,-1.6084852395547669,43.516790810360206,0.0
persistence,1,pollution,observed <= 65 ug/m3,3135,15.485394672589692,9.581180223285486,-0.006010691459617634,23.13858850838116,3.1767145135566186,15.485394672589692,0.0
persistence,1,pollution,observed > 35 ug/m3,8158,38.823631101999,22.149791615592058,0.8128037517819078,17.00078266182342,-0.6253983819563619,38.823631101999,0.0
persistence,1,pollution,observed <= 35 ug/m3,1176,12.861639425340885,7.950680272108843,-1.6754954198051908,28.556483642088793,4.328231292517007,12.861639425340885,0.0
seasonal_naive,1,overall,all,9334,73.13873007909714,44.8330833511892,0.36752348257590217,37.913739923119536,-0.3801157060209985,36.581593524432485,-0.9993314405576266
seasonal_naive,1,season,monsoon (wet),3079,40.308053798705025,26.282559272491067,-0.14227677159364527,47.79578987207343,-0.17473205586229296,22.55061068400367,-0.7874484360327165
seasonal_naive,1,season,dry,6255,84.75058625463069,53.96450839328537,0.14849244532255834,33.04933835751936,-0.4812150279776179,41.792598184243204,-1.027885078621019
seasonal_naive,1,pollution,observed > 65 ug/m3,6199,86.11298040608311,56.61622842393935,0.006259268936108842,34.82913542491078,-6.599774157122116,43.516790810360206,-0.9788449194553628
seasonal_naive,1,pollution,observed <= 65 ug/m3,3135,35.54890155706468,21.53365231259968,-4.301642153024041,44.01309025307041,11.918341307814993,15.485394672589692,-1.2956406542216774
seasonal_naive,1,pollution,observed > 35 ug/m3,8158,77.22097554094972,48.359524393233634,0.2594141591500988,35.27859621250131,-2.6961265015935276,38.823631101999,-0.9890199177421526
seasonal_naive,1,pollution,observed <= 35 ug/m3,1176,33.034240636372566,20.369897959183675,-16.649817044817706,56.193929031302694,15.686224489795919,12.861639425340885,-1.5684315617872353
climatology,1,overall,all,9334,65.31529168406384,42.788273562276885,0.4955950773840134,37.526975425273754,-12.560770129195186,36.581593524432485,-0.7854687396392506
climatology,1,season,monsoon (wet),3079,34.720153314138656,22.087169080719562,0.15247805004321446,41.93502225793988,-10.571336572536106,22.55061068400367,-0.5396546816697732
climatology,1,season,dry,6255,75.97799162207197,52.9783136420075,0.3156493217597417,35.35713110908206,-13.540061243656142,41.792598184243204,-0.8179772237926444
climatology,1,pollution,observed > 65 ug/m3,6199,76.41818775589242,53.467813695692904,0.21741896653747605,35.50609750116184,-26.067936765785575,43.516790810360206,-0.7560621160901244
climatology,1,pollution,observed <= 65 ug/m3,3135,33.976793156673445,21.671058478689663,-3.8430930328690307,41.52296338430717,14.147659210589135,15.485394672589692,-1.1941186437317555
climatology,1,pollution,observed > 35 ug/m3,8158,68.9392799031348,46.266642717204284,0.4097468378291017,35.48357105014633,-16.94783076653912,38.823631101999,-0.7757040736868421
climatology,1,pollution,observed <= 35 ug/m3,1176,29.848682547651237,18.65856644841831,-13.409930495545288,51.70222448334301,17.87259779550879,12.861639425340885,-1.3207525542071497
sarimax,1,overall,all,9333,35.81148319957537,20.672590878080936,0.8483685005205501,19.020466599490383,-2.53810945882997,36.581593524432485,0.021051852876304178
sarimax,1,season,monsoon (wet),3079,21.909882842009413,13.455137872432505,0.6625046473612739,26.081332843993167,2.6718569817486273,22.55061068400367,0.028412882071027767
sarimax,1,season,dry,6254,40.95745806538367,24.22592279435716,0.8011512092033396,15.54422624662437,-5.103105728504018,41.792598184243204,0.019982967203374336
sarimax,1,pollution,observed > 65 ug/m3,6198,42.54981235506405,25.88397025807474,0.7574057245219609,15.981943281435884,-7.3174506217813455,43.516790810360206,0.02222081264011644
sarimax,1,pollution,observed <= 65 ug/m3,3135,15.444765961140225,10.3695193000262,-0.0007387174164323884,25.027728968007708,6.910808093952365,15.485394672589692,0.0026236794288092558
sarimax,1,pollution,observed > 35 ug/m3,8157,37.902517314320015,22.16456771017724,0.8215885140689976,16.624640256236393,-4.2477549530266145,38.823631101999,0.023725596023179696
sarimax,1,pollution,observed <= 35 ug/m3,1176,14.605586640772096,10.323904637086393,-2.4502420387435415,35.63845595486694,9.320375486886046,12.861639425340885,-0.13559291764898695
ridge,1,overall,all,9334,34.49115335919166,19.968397328882247,0.8593418149787119,18.01050785237951,-4.868777266744291,36.581593524432485,0.05714459004757799
ridge,1,season,monsoon (wet),3079,20.819613429529117,12.275309915712585,0.69525751178615,23.672948929411884,-3.391203059085075,22.55061068400367,0.07676054891508721
ridge,1,season,dry,6255,39.52047628988347,23.75529039765113,0.8148398929660776,15.22319273228636,-5.596107560170786,41.792598184243204,0.054366610191188824
ridge,1,pollution,observed > 65 ug/m3,6199,41.33546754358585,25.616754331367176,0.7710284319879737,16.035082140291916,-9.015936434915929,43.516790810360206,0.05012601403169281
ridge,1,pollution,observed <= 65 ug/m3,3135,12.784008277737987,8.799604646775688,0.3143663478356066,21.916620767604723,3.33161816658776,15.485394672589692,0.17444737134361588
ridge,1,pollution,observed > 35 ug/m3,8158,36.66016603639786,21.77043051759802,0.8330856436333482,16.602957638497834,-6.262500790493591,38.823631101999,0.055725469364707125
ridge,1,pollution,observed <= 35 ug/m3,1176,10.911186299830005,7.467558252739983,-0.9255530756185761,27.774789012963474,4.799587109741076,12.861639425340885,0.15164887313416386
random_forest,1,overall,all,9334,33.47159377702973,18.895038599310112,0.8675346292737717,17.258636934324674,-4.474732753840369,36.581593524432485,0.08501542573112941
random_forest,1,season,monsoon (wet),3079,20.744594004553736,12.22158619561324,0.6974497155592225,23.546413644654944,-3.6082455955388304,22.55061068400367,0.08008726259156407
random_forest,1,season,dry,6255,38.20997385357598,22.18002020618184,0.8269161430652266,14.163502723116533,-4.901257767495115,41.792598184243204,0.08572389576913064
random_forest,1,pollution,observed > 65 ug/m3,6199,40.12388538961192,24.139510978136844,0.7842544671635269,15.165500257273907,-8.196133361496805,43.516790810360206,0.0779677305602352
random_forest,1,pollution,observed <= 65 ug/m3,3135,12.34010361220786,8.52486817623295,0.3611547772902536,21.39750591711182,2.8837879373437647,15.485394672589692,0.20311339341897638
random_forest,1,pollution,observed > 35 ug/m3,8158,35.57647659907094,20.593020395669473,0.8428079036134224,15.897634842588634,-5.800927767259398,38.823631101999,0.08363860903162301
random_forest,1,pollution,observed <= 35 ug/m3,1176,10.588972275523762,7.116011818102926,-0.8135067410054679,26.700010288391525,4.72518129333008,12.861639425340885,0.1767012022852512
xgboost,1,overall,all,9334,33.653961829490434,19.045111894045146,0.8660872370711886,17.368531261230224,-4.095157492063239,36.581593524432485,0.08003018493403558
xgboost,1,season,monsoon (wet),3079,20.424803741197817,12.144214310679567,0.7067058027490393,23.505835817335388,-3.2075935833787903,22.55061068400367,0.09426826495274465
xgboost,1,season,dry,6255,38.53245673080498,22.442052527008,0.8239822431586097,14.347466396602282,-4.532057456066345,41.792598184243204,0.07800762802699768
xgboost,1,pollution,observed > 65 ug/m3,6199,40.30496257974571,24.33216847012399,0.7823027744331819,15.297573174175197,-7.670795190863804,43.516790810360206,0.07380664269594628
xgboost,1,pollution,observed <= 65 ug/m3,3135,12.646254854635837,8.590737503259579,0.32906275896059345,21.463545354261846,2.9751385509558013,15.485394672589692,0.18334307119594084
xgboost,1,pollution,observed > 35 ug/m3,8158,35.77072729580461,20.75305197270469,0.8410866519225931,15.97906478754101,-5.349212437640695,38.823631101999,0.07863519509995542
xgboost,1,pollution,observed <= 35 ug/m3,1176,10.63700490738081,7.197003763343999,-0.8299965501270214,27.00736416289405,4.604315506253837,12.861639425340885,0.17296663701961257
lightgbm,1,overall,all,9334,33.462908852058575,18.939131205107017,0.8676033623349437,17.334938757933834,-3.9742978853663624,36.581593524432485,0.08525283816001539
lightgbm,1,season,monsoon (wet),3079,20.372729535277955,12.164755400528474,0.7081994369442768,23.62856108052122,-3.299867465198204,22.55061068400367,0.09657747984051712
lightgbm,1,season,dry,6255,38.29701172903235,22.273791972860387,0.8261267151933082,14.236927066287706,-4.306283698907172,41.792598184243204,0.08364128116181047
lightgbm,1,pollution,observed > 65 ug/m3,6199,40.10810331425776,24.197212421691482,0.7844241537524583,15.223550154918106,-7.414823871143504,43.516790810360206,0.0783303969025888
lightgbm,1,pollution,observed <= 65 ug/m3,3135,12.371383791307336,8.542051313047327,0.35791193254550446,21.509898231648197,2.8288346778975915,15.485394672589692,0.20109341396344182
lightgbm,1,pollution,observed > 35 ug/m3,8158,35.56544386858258,20.629744531162494,0.8429053831443963,15.919337827873479,-5.2114096131144105,38.823631101999,0.08392278467865055
lightgbm,1,pollution,observed <= 35 ug/m3,1176,10.628131663058877,7.211220053779955,-0.8269447072676457,27.155068339083837,4.607638743008277,12.861639425340885,0.173656536963818
gru_h64_l2,1,overall,all,9334,34.144787626401595,19.442665480638993,0.8621526547270555,17.684089293437445,-3.180500279627723,36.581593524432485,0.06661289635738177
gru_h64_l2,1,season,monsoon (wet),3079,20.69690311324495,12.389574526411103,0.6988392155936786,23.93260684437155,-3.525176645331907,22.55061068400367,0.0822021007206537
gru_h64_l2,1,season,dry,6255,39.10115627386431,22.914522722536308,0.8187482185415245,14.608280254376519,-3.010834647333051,41.792598184243204,0.06439996619768973
