model,tier,horizon_h,rmse,mae,r2,smape,bias,n,skill_vs_persistence,rmse_ci_lower,rmse_ci_upper
persistence,tier1,1,36.581593524432485,20.360831369187917,0.8417751055773043,18.456696991456166,-0.0012856224555388902,9334,0.0,33.406846910054156,39.78658114932517
seasonal_naive,tier1,1,73.13873007909714,44.8330833511892,0.36752348257590217,37.913739923119536,-0.3801157060209985,9334,-0.9993314405576266,67.10491165699611,79.14654330901008
climatology,tier1,1,65.31529168406384,42.788273562276885,0.4955950773840134,37.526975425273754,-12.560770129195186,9334,-0.7854687396392506,60.14702111804991,70.00661633044732
sarimax,tier1,1,35.81148319957537,20.672590878080936,0.8483685005205501,19.020466599490383,-2.53810945882997,9333,0.021051852876304178,32.62469406935345,38.81705197537667
ridge,tier2,1,34.49115335919166,19.968397328882247,0.8593418149787119,18.01050785237951,-4.868777266744291,9334,0.05714459004757799,31.545027548148134,37.42660407732262
random_forest,tier2,1,33.47159377702974,18.895038599310112,0.8675346292737717,17.258636934324674,-4.474732753840369,9334,0.08501542573112919,30.477949292775396,36.365632116046434
xgboost,tier2,1,33.653961829490434,19.045111894045146,0.8660872370711886,17.368531261230224,-4.095157492063239,9334,0.08003018493403558,30.641058179247803,36.642619752457804
lightgbm,tier2,1,33.462908852058575,18.939131205107017,0.8676033623349437,17.334938757933834,-3.9742978853663624,9334,0.08525283816001539,30.435788988962905,36.45573240008701
persistence,tier1,3,60.40721282062346,37.12200622919128,0.568597091499448,31.460553464874998,-0.03039415744817957,9311,0.0,56.18849723264501,65.32059075962671
seasonal_naive,tier1,3,73.1478083660569,44.827838041026745,0.3674307014088962,37.89258297072908,-0.35098270862420794,9311,-0.2109118257660072,66.96659749778757,79.23633811057006
climatology,tier1,3,65.30518294293076,42.7646809477626,0.49580240038201207,37.49714157919659,-12.640244795433217,9311,-0.08108253788916908,60.29354194637203,70.15320787614858
sarimax,tier1,3,55.48623090134229,35.15752644208927,0.635899719005278,31.01195839129623,-6.940764703053906,9308,0.08146348241382706,51.469451181012595,59.725797201668826
ridge,tier2,3,49.46257740836586,30.409531790062836,0.7107595964260062,26.600920967743956,-8.726298631031938,9311,0.18118093686522518,45.570064062979775,53.41227595373147
random_forest,tier2,3,48.89157831207336,29.882487085364033,0.717399069417159,26.138562599123333,-8.584337360235375,9311,0.19063343549296452,45.315062847603585,52.80992453959787
xgboost,tier2,3,48.83351376480024,29.828837108584562,0.7180699150632289,26.025206676369066,-7.834766738076431,9311,0.1915946542706879,45.13435991611723,52.854713529111244
lightgbm,tier2,3,48.746398388160394,29.817723173752956,0.7190749026889169,26.007566062888472,-7.844989876072961,9311,0.1930367896146663,45.108480361331715,52.70464423091347
persistence,tier1,6,82.67135656366307,53.1087636089253,0.19122902808011144,42.511891178507284,0.08127627465775573,9277,0.0,76.55962713421366,88.76476573026441
seasonal_naive,tier1,6,73.20283653308965,44.8667672739032,0.36588029797781974,37.91596127615591,-0.29934245984693325,9277,0.11453205105303854,67.30588577208816,79.03352078860655
climatology,tier1,6,65.2323478261321,42.719039964566,0.4964513374065306,37.474951231499695,-12.671684288423466,9277,0.2109437834626754,60.39707925484851,69.89049891407528
sarimax,tier1,6,70.3677203828833,46.685783098406375,0.4138050215570933,40.21510743162524,-12.236734687422757,9271,0.1488258653564618,65.03904226697311,75.52871981218414
ridge,tier2,6,57.13503766567567,35.67953993685669,0.6137037757801714,31.081206757183534,-11.713031301538434,9277,0.30888955932787365,52.38118719357899,61.72320212438595
random_forest,tier2,6,57.19054162210382,35.548492049865935,0.6129528746129811,30.846294466005386,-12.694175238043856,9277,0.30821817858930534,52.50691309672211,61.63171385340471
xgboost,tier2,6,56.52704504035783,35.12299704455287,0.6218814413966807,30.493280304433473,-11.155677246702236,9277,0.31624389159711186,52.04368596542465,60.91228918006092
lightgbm,tier2,6,56.078918840133596,34.91681014428592,0.6278528550362215,30.330237527759607,-10.61388026307066,9277,0.3216644655280493,51.6718435901115,60.47177361502609
persistence,tier1,12,98.65476302038726,64.89296569691706,-0.15139507117037487,50.066407228974484,0.289622231871472,9212,0.0,91.53740700805145,106.04354714418626
seasonal_naive,tier1,12,73.36036949483409,44.93790707772471,0.3633345672913987,37.908908522033315,-0.14090316977854972,9212,0.2563930290960815,67.58386911654306,79.15703271910147
climatology,tier1,12,65.07821966907805,42.57178897450181,0.498974791215013,37.318768093532036,-12.615867611461827,9212,0.34034386504350056,60.23544379423621,70.139585147813
sarimax,tier1,12,78.9005725396866,53.70141741384383,0.2641570272096555,46.77540394921518,-18.395818348965157,9200,0.2002355474374654,72.91411575182737,85.10355019196162
ridge,tier2,12,59.67162098288175,37.39943143709232,0.578765511349772,32.70789377437192,-12.129530561198072,9212,0.39514708508751417,54.7864712358236,64.68496916926416
random_forest,tier2,12,57.27868892981686,35.481873421466894,0.6118725239953224,31.396533327781167,-13.206296998216905,9212,0.4194027011348649,52.521457167043565,62.14116658664289
xgboost,tier2,12,57.02178472634108,35.280228630959215,0.6153463454332782,31.19146015349322,-11.890153042211695,9212,0.4220067741224275,52.302117457995145,61.85126035344854
lightgbm,tier2,12,56.94022912975693,35.28790155635334,0.6164458629048174,31.137567983328612,-11.715505626707015,9212,0.4228334508493008,52.244037097295056,61.72900189206232
persistence,tier1,24,73.76441129626997,45.22140262027964,0.360556952991792,37.984525799530374,0.0059451722999009134,9083,0.0,67.77236700366622,79.86165753664693
seasonal_naive,tier1,24,73.76441129626997,45.22140262027964,0.360556952991792,37.984525799530374,0.0059451722999009134,9083,0.0,67.77236700366622,79.86165753664693
climatology,tier1,24,65.43149142293335,42.72020961358585,0.4968682234773619,37.27539408740703,-13.056991484511983,9083,0.11296666952126799,60.524207156115516,70.45431772123273
sarimax,tier1,24,81.36196179404095,55.75711945592988,0.22119133232957588,48.888647155431734,-25.083763451421238,9059,-0.1029975073922289,74.8283983316878,87.9329078896508
ridge,tier2,24,59.36511127642036,37.284888685756435,0.5858375888033878,32.88848632579932,-12.329937518328217,9083,0.19520660121607636,54.29835067176402,64.34211324456955
random_forest,tier2,24,58.49972691929854,36.25169584554549,0.5978243378438801,32.376463601006954,-13.791661737526859,9083,0.20693833392991934,53.45459963334529,63.48943897903469
xgboost,tier2,24,58.69697491092797,36.36820484646075,0.5951076728426057,32.14783331805808,-13.135002885981368,9083,0.20426430741546375,53.63589505081729,63.73194460250205
lightgbm,tier2,24,59.020989543664804,36.6231726361902,0.5906252226195368,32.40188227805955,-13.360750504393561,9083,0.19987174700532984,54.0285693300039,64.189236858972
