arm,target_coverage,family,model,skill,skill_std,rmse,train_rows,n_gaps,coverage,n_draws
contiguous,0.75,climatological,climatology,-0.01173281273369331,0.02768816358830245,111.15972964850837,14480.6,187.5,0.75,10
contiguous,0.75,climatological,persistence,0.0,0.0,109.87063802759914,14480.6,187.5,0.75,10
contiguous,0.75,linear,dlinear,0.057109469621359266,0.023899063409451818,103.59598416288262,14480.6,187.5,0.75,10
contiguous,0.75,linear,ridge,0.007495982039081783,0.016783688929282867,109.0470496983218,14480.6,187.5,0.75,10
contiguous,0.75,sequence,gru_h64_l2,0.057123185051590294,0.03820776640717517,103.59447723981229,14480.6,187.5,0.75,10
contiguous,0.75,sequence,lstm_h64_l1,0.052607903890298416,0.04175352336678163,104.09057406187745,14480.6,187.5,0.75,10
contiguous,0.75,trees,lightgbm,-0.04306315930033222,0.030584076761272075,114.60201481541078,14480.6,187.5,0.75,10
contiguous,0.75,trees,random_forest,-0.03622225621355605,0.02579159633249084,113.85040042858171,14480.6,187.5,0.75,10
contiguous,0.75,trees,xgboost,-0.03130533799246671,0.03401472529944629,113.31017548650111,14480.6,187.5,0.75,10
contiguous,0.82,climatological,climatology,0.007157101728575144,0.012410148440684223,109.08428269425217,16013.6,202.7,0.8199906052878807,10
contiguous,0.82,climatological,persistence,0.0,0.0,109.87063802759914,16013.6,202.7,0.8199906052878807,10
contiguous,0.82,linear,dlinear,0.05851606225950444,0.02559554216691791,103.44144093228468,16013.6,202.7,0.8199906052878807,10
contiguous,0.82,linear,ridge,0.01279343594578788,0.01341114751536816,108.46501505767021,16013.6,202.7,0.8199906052878807,10
contiguous,0.82,sequence,gru_h64_l2,0.06530734741140522,0.021230317334437383,102.69527809961797,16013.6,202.7,0.8199906052878807,10
contiguous,0.82,sequence,lstm_h64_l1,0.025122449035686428,0.041351067617100126,107.11041852323244,16013.6,202.7,0.8199906052878807,10
contiguous,0.82,trees,lightgbm,-0.03308894431402067,0.025815881144908914,113.50614145104029,16013.6,202.7,0.8199906052878807,10
contiguous,0.82,trees,random_forest,-0.02961414316083103,0.018449165448299425,113.12436283132031,16013.6,202.7,0.8199906052878807,10
contiguous,0.82,trees,xgboost,-0.01364962336861546,0.03304008578858971,111.37033085594535,16013.6,202.7,0.8199906052878807,10
contiguous,0.85,climatological,climatology,0.01150919400434659,0.015123292864461294,108.60611553915817,16687.7,207.7,0.8499865789826868,10
contiguous,0.85,climatological,persistence,0.0,0.0,109.87063802759914,16687.7,207.7,0.8499865789826868,10
contiguous,0.85,linear,dlinear,0.0684028263812365,0.03125280952627789,102.3551758502016,16687.7,207.7,0.8499865789826868,10
contiguous,0.85,linear,ridge,0.016516919661145622,0.012076259969336839,108.05591352617849,16687.7,207.7,0.8499865789826868,10
contiguous,0.85,sequence,gru_h64_l2,0.06389004884525565,0.036012961139404276,102.85099759735643,16687.7,207.7,0.8499865789826868,10
contiguous,0.85,sequence,lstm_h64_l1,0.0458048199547192,0.04425928363166218,104.83803323443485,16687.7,207.7,0.8499865789826868,10
contiguous,0.85,trees,lightgbm,-0.030186783036361263,0.021132054796070488,113.18727913980486,16687.7,207.7,0.8499865789826868,10
contiguous,0.85,trees,random_forest,-0.022991718139677632,0.0182762628583937,112.39675276895625,16687.7,207.7,0.8499865789826868,10
contiguous,0.85,trees,xgboost,-0.006500842310203536,0.02840000834101401,110.58488971993802,16687.7,207.7,0.8499865789826868,10
contiguous,0.9,climatological,climatology,0.012851698545771062,0.008530812877259738,108.4586137086369,17823.6,214.9,0.9000134210173132,10
contiguous,0.9,climatological,persistence,0.0,0.0,109.87063802759914,17823.6,214.9,0.9000134210173132,10
contiguous,0.9,linear,dlinear,0.08025817189896707,0.022096260944885482,101.05262147413092,17823.6,214.9,0.9000134210173132,10
contiguous,0.9,linear,ridge,0.0190029345852988,0.006681983044866893,107.78277348031563,17823.6,214.9,0.9000134210173132,10
contiguous,0.9,sequence,gru_h64_l2,0.06112989659416529,0.03804632100370874,103.15425728623704,17823.6,214.9,0.9000134210173132,10
contiguous,0.9,sequence,lstm_h64_l1,0.06638367291720723,0.012758326889324871,102.57702152957013,17823.6,214.9,0.9000134210173132,10
contiguous,0.9,trees,lightgbm,-0.02625829598638745,0.013789740946479393,112.75565376114108,17823.6,214.9,0.9000134210173132,10
contiguous,0.9,trees,random_forest,-0.021370862839120354,0.011353770695748527,112.21866836293361,17823.6,214.9,0.9000134210173132,10
contiguous,0.9,trees,xgboost,0.0032590079852319207,0.015119021445187706,109.51256874092466,17823.6,214.9,0.9000134210173132,10
contiguous,0.95,climatological,climatology,0.012915527196284571,0.006387193066078903,108.45160081408055,18941.9,222.5,0.9500067105086567,10
contiguous,0.95,climatological,persistence,0.0,0.0,109.87063802759914,18941.9,222.5,0.9500067105086567,10
